sampleID	p_Euryarchaeota	p_Actinobacteria	p_Bacteroidetes	p_Cyanobacteria	p_Deferribacteres	p_Firmicutes	p_Fusobacteria	p_Patescibacteria	p_Proteobacteria	p_Tenericutes	p_Verrucomicrobia	k_Bacteria	k_Eukaryota	Unassigned
459-2-90min	0	32	980	43	1	941	0	2	14	14	0	0	0	0
461-2-120min	0	24	853	3	5	1055	0	0	17	70	0	0	0	0
461-2-30min	0	43	876	0	1	1049	0	5	30	23	0	0	0	0
461-2-90min	0	36	748	2	0	1159	0	2	13	67	0	0	0	0
495-120min	0	7	942	38	0	1008	0	2	23	7	0	0	0	0
495-180min	0	7	789	30	3	1146	0	2	39	11	0	0	0	0
495-30min	0	13	814	7	8	1138	0	3	32	12	0	0	0	0
495-60min	0	2	915	18	5	1043	0	3	32	9	0	0	0	0
496-30min	0	22	645	0	0	1242	0	6	64	43	5	0	0	0
496-60min	0	20	320	4	0	1568	0	8	76	31	0	0	0	0
497-120min	0	6	892	0	1	1047	0	0	42	39	0	0	0	0
497-180min	0	2	880	4	0	1046	0	0	54	41	0	0	0	0
497-30min	0	11	1014	5	2	898	0	2	40	55	0	0	0	0
497-60min	0	11	861	3	0	1060	0	2	49	41	0	0	0	0
499-30min	0	18	940	0	1	1002	0	5	29	32	0	0	0	0
499-60min	0	9	534	0	0	1416	0	7	22	39	0	0	0	0
500-120min	0	8	991	15	1	974	0	5	13	20	0	0	0	0
500-30min	0	7	845	12	0	1101	0	3	37	22	0	0	0	0
500-60min	0	15	1057	8	0	917	0	0	8	22	0	0	0	0
501-30min	0	18	752	3	5	1173	0	3	38	35	0	0	0	0
501-60min	0	21	495	11	0	1416	0	5	46	33	0	0	0	0
502-120min	0	19	1158	13	0	788	0	0	30	19	0	0	0	0
502-30min	0	5	887	2	0	1075	0	0	43	15	0	0	0	0
502-60min	0	31	1111	8	0	815	0	0	40	22	0	0	0	0
503-30min	0	15	846	3	3	1112	0	0	15	33	0	0	0	0
503-60min	0	0	458	3	0	1514	0	0	17	35	0	0	0	0
506-120min	0	22	884	4	0	1070	0	4	26	17	0	0	0	0
506-30min	0	14	826	0	0	1138	0	0	37	12	0	0	0	0
506-60min	0	21	939	0	0	1030	0	0	13	24	0	0	0	0
507-120min	0	5	1010	4	0	972	0	0	25	11	0	0	0	0
507-30min	0	13	1106	4	0	869	0	0	11	24	0	0	0	0
507-60min	0	5	1035	9	0	946	0	0	20	12	0	0	0	0
508-120min	0	6	679	6	0	1289	0	0	28	19	0	0	0	0
508-30min	0	21	1049	6	0	905	0	3	24	19	0	0	0	0
508-60min	0	23	509	1	0	1459	0	3	10	22	0	0	0	0
509-120min	0	10	741	13	0	1191	0	1	34	37	0	0	0	0
509-30min	0	6	1117	28	0	818	0	4	30	24	0	0	0	0
509-60min	0	14	555	4	0	1394	0	5	31	24	0	0	0	0
510-120min	0	13	850	4	2	1096	0	17	13	32	0	0	0	0
510-30min	0	19	836	3	2	1088	0	14	30	35	0	0	0	0
510-60min	0	13	751	5	0	1164	0	13	47	34	0	0	0	0
515-120min	0	13	1065	69	0	812	0	0	40	28	0	0	0	0
515-30min	0	11	893	10	0	1046	0	0	31	36	0	0	0	0
515-60min	0	15	934	49	0	993	0	0	21	15	0	0	0	0
517-120min	0	4	782	10	0	1165	0	0	40	26	0	0	0	0
517-30min	0	5	1066	6	0	895	0	0	29	26	0	0	0	0
517-60min	0	5	930	1	0	1027	0	4	28	32	0	0	0	0
518-30min	0	0	868	19	0	1069	0	2	32	37	0	0	0	0
518-60min	0	11	728	74	0	1193	0	0	11	10	0	0	0	0
519-30min	0	20	444	0	0	1494	0	4	29	36	0	0	0	0
519-60min	0	10	236	0	0	1738	0	0	21	22	0	0	0	0
521-30min	0	7	778	4	0	1175	0	0	27	36	0	0	0	0
521-60min	0	9	725	7	0	1261	0	0	9	16	0	0	0	0
522-30min	0	15	879	5	2	1084	0	12	21	9	0	0	0	0
522-60min	0	32	469	0	5	1461	0	7	37	16	0	0	0	0
523-120min	0	6	591	0	0	1373	0	4	8	45	0	0	0	0
523-60min	0	9	681	4	0	1257	0	6	12	58	0	0	0	0
524-120min	0	9	956	13	0	1000	0	3	3	43	0	0	0	0
524-30min	0	0	790	9	0	1145	0	4	35	44	0	0	0	0
